title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
23/10/2007;1451.062826
24/10/2007;1451.668752
25/10/2007;1452.275725
26/10/2007;1452.885248
29/10/2007;1453.493239
30/10/2007;1454.102002
31/10/2007;1454.708104
01/11/2007;1455.31618
05/11/2007;1455.924281
06/11/2007;1456.533153
07/11/2007;1457.140484
08/11/2007;1457.751347
09/11/2007;1458.361962
12/11/2007;1458.972688
13/11/2007;1459.585584
14/11/2007;1460.198248
16/11/2007;1460.81073
19/11/2007;1461.425274
20/11/2007;1462.039226
21/11/2007;1462.653656
22/11/2007;1463.266014
23/11/2007;1463.881957
26/11/2007;1464.496451
27/11/2007;1465.11264
28/11/2007;1465.730122
29/11/2007;1466.345661
30/11/2007;1466.96438
03/12/2007;1467.582127
04/12/2007;1468.198705
05/12/2007;1468.816758
06/12/2007;1469.433318
07/12/2007;1470.051829
10/12/2007;1470.669047
11/12/2007;1471.287875
12/12/2007;1471.907219
13/12/2007;1472.538294
14/12/2007;1473.167538
17/12/2007;1473.79036
18/12/2007;1474.41036
19/12/2007;1475.054707
20/12/2007;1475.685455
21/12/2007;1476.312889
24/12/2007;1476.933101
26/12/2007;1477.567296
27/12/2007;1478.205161
28/12/2007;1478.847584
31/12/2007;1479.468709
02/01/2008;1480.09907
03/01/2008;1480.724919
04/01/2008;1481.355554
07/01/2008;1482.037659
08/01/2008;1482.703342
09/01/2008;1483.379214
10/01/2008;1484.048094
11/01/2008;1484.691155
14/01/2008;1485.339745
15/01/2008;1485.9812
16/01/2008;1486.626261
17/01/2008;1487.26938
18/01/2008;1487.917337
21/01/2008;1488.557765
22/01/2008;1489.193091
23/01/2008;1489.826635
24/01/2008;1490.435443
25/01/2008;1491.059848
28/01/2008;1491.693022
29/01/2008;1492.312312
30/01/2008;1492.953024
31/01/2008;1493.581404
01/02/2008;1494.198727
06/02/2008;1494.824936
07/02/2008;1495.463627
08/02/2008;1496.107942
11/02/2008;1496.773154
12/02/2008;1497.407786
13/02/2008;1498.05495
14/02/2008;1498.691059
15/02/2008;1499.339214
18/02/2008;1499.978456
19/02/2008;1500.610779
20/02/2008;1501.260407
21/02/2008;1501.909642
22/02/2008;1502.545094
25/02/2008;1503.189289
26/02/2008;1503.829696
27/02/2008;1504.473438
28/02/2008;1505.126456
29/02/2008;1505.771101
03/03/2008;1506.416476
04/03/2008;1507.052306
05/03/2008;1507.690803
06/03/2008;1508.327538
07/03/2008;1508.972085
10/03/2008;1509.609799
11/03/2008;1510.254757
12/03/2008;1510.897392
13/03/2008;1511.537255
14/03/2008;1512.17175
17/03/2008;1512.80539
18/03/2008;1513.446382
19/03/2008;1514.087066
20/03/2008;1514.733492
24/03/2008;1515.36626
25/03/2008;1516.015492
26/03/2008;1516.671379
27/03/2008;1517.317062
28/03/2008;1517.973541
31/03/2008;1518.620477
01/04/2008;1519.259004
02/04/2008;1519.902461
03/04/2008;1520.539311
04/04/2008;1521.176397
07/04/2008;1521.819184
08/04/2008;1522.455492
09/04/2008;1523.097668
10/04/2008;1523.75009
11/04/2008;1524.390087
14/04/2008;1525.020545
15/04/2008;1525.672865
16/04/2008;1526.323355
17/04/2008;1526.968395
18/04/2008;1527.640831
22/04/2008;1528.312723
23/04/2008;1528.981053
24/04/2008;1529.650343
25/04/2008;1530.309343
28/04/2008;1530.977655
29/04/2008;1531.643663
30/04/2008;1532.304013
02/05/2008;1532.948079
05/05/2008;1533.622588
06/05/2008;1534.292838
07/05/2008;1534.956854
08/05/2008;1535.625867
09/05/2008;1536.292601
12/05/2008;1536.972332
13/05/2008;1537.641178
14/05/2008;1538.307275
15/05/2008;1538.973346
16/05/2008;1539.64263
19/05/2008;1540.320045
20/05/2008;1540.997539
21/05/2008;1541.671426
23/05/2008;1542.345065
26/05/2008;1543.013375
27/05/2008;1543.700524
28/05/2008;1544.371816
29/05/2008;1545.043231
30/05/2008;1545.716944
02/06/2008;1546.394465
03/06/2008;1547.06459
04/06/2008;1547.736079
05/06/2008;1548.411844
06/06/2008;1549.109225
09/06/2008;1549.807278
10/06/2008;1550.512757
11/06/2008;1551.222051
12/06/2008;1551.923606
13/06/2008;1552.629585
16/06/2008;1553.329987
17/06/2008;1554.031733
18/06/2008;1554.737145
19/06/2008;1555.450961
